2010-01-01,
2010-01-02,
2010-01-03,
2010-01-04,
2010-01-05,
2010-01-06,
2010-01-07,
2010-01-08,
2010-01-09,
2010-01-10,
2010-01-11,
2010-01-12,138.33333333333331,CO
2010-01-13,83.96109215017064,CO
2010-01-14,
2010-01-15,116.45737842661116,CO
2010-01-16,167.08074534161491,CO
2010-01-17,98.96969696969698,CO
2010-01-18,165.2056218979637,CO
2010-01-19,
2010-01-20,
2010-01-21,
2010-01-22,83.39916393836363,CO
2010-01-23,124.55555555555556,CO
2010-01-24,115.60083780274667,CO
2010-01-25,119.35508891353727,CO
2010-01-26,93.94012183646177,CO
2010-01-27,199.39597190366547,CO
2010-01-28,
2010-01-29,142.1475903846724,CO
2010-01-30,75.26059746638369,CO
2010-01-31,
2010-02-01,32.50377193682429,CO
2010-02-02,47.577661456076555,CO
2010-02-03,
2010-02-04,164.35500971321866,CO
2010-02-05,40.4328022436331,CO
2010-02-06,162.78682411435673,CO
2010-02-07,
2010-02-08,
2010-02-09,156.88905031745912,CO
2010-02-10,105.93991144614219,CO
2010-02-11,98.68779270698992,CO
2010-02-12,161.94638561269178,CO
2010-02-13,181.0275678676922,CO
2010-02-14,
2010-02-15,311.94851985596364,CO
2010-02-16,136.71448086342096,CO
2010-02-17,
2010-02-18,
2010-02-19,
2010-02-20,
2010-02-21,
2010-02-22,
2010-02-23,
2010-02-24,53.0,CO
2010-02-25,
2010-02-26,89.3610458328622,CO
2010-02-27,
2010-02-28,
2010-03-01,
2010-03-02,80.48321366220401,CO
2010-03-03,110.695469645388,CO
2010-03-04,213.96698998100342,CO
2010-03-05,211.94673147742404,CO
2010-03-06,130.9483973802212,CO
2010-03-07,116.30894996200539,CO
2010-03-08,
2010-03-09,127.07094779013289,CO
2010-03-10,309.45781556572916,CO
2010-03-11,240.14867662154276,CO
2010-03-12,61.07958396232629,CO
2010-03-13,74.39866815151304,CO
2010-03-14,
2010-03-15,176.21050509753786,CO
2010-03-16,78.83566743706177,CO
2010-03-17,84.63239006199402,CO
2010-03-18,175.04945182501203,CO
2010-03-19,
2010-03-20,401.63581554052536,CO
2010-03-21,201.58890008318562,CO
2010-03-22,95.7079561399023,CO
2010-03-23,
2010-03-24,
2010-03-25,432.5,CO
2010-03-26,256.7953555217485,CO
2010-03-27,
2010-03-28,146.91587998661151,CO
2010-03-29,145.86918935442768,CO
2010-03-30,133.12154499496148,CO
2010-03-31,
2010-04-01,157.67772970706918,CO
2010-04-02,147.02064516129033,CO
2010-04-03,106.13308648279632,CO
2010-04-04,84.75585447832232,CO
2010-04-05,124.42265959070558,CO
2010-04-06,224.0819164440126,CO
2010-04-07,262.9624637370395,CO
2010-04-08,39.981359422587246,CO
2010-04-09,55.075027646997675,CO
2010-04-10,143.64659981421164,CO
2010-04-11,121.79149154282268,CO
2010-04-12,
2010-04-13,155.50465081725045,CO
2010-04-14,
2010-04-15,175.74040187630158,CO
2010-04-16,393.8,CO
2010-04-17,
2010-04-18,172.6811920486984,CO
2010-04-19,130.92852418808036,CO
2010-04-20,340.2668959632056,CO
2010-04-21,327.789890076452,CO
2010-04-22,184.63697706338334,CO
2010-04-23,
2010-04-24,272.87661827356584,CO
2010-04-25,193.3102594755337,CO
2010-04-26,281.21447163932316,CO
2010-04-27,112.63053866389055,CO
2010-04-28,102.0142935866667,CO
2010-04-29,
2010-04-30,
2010-05-01,176.44085495803276,CO
2010-05-02,214.814917405039,CO
2010-05-03,83.24892558619906,CO
2010-05-04,64.66142040600249,CO
2010-05-05,106.99575873061492,CO
2010-05-06,180.78155911791873,CO
2010-05-07,
2010-05-08,157.80779927464258,CO
2010-05-09,162.29745092683433,CO
2010-05-10,210.22890206839463,CO
2010-05-11,
2010-05-12,
2010-05-13,336.1463437487515,CO
2010-05-14,
2010-05-15,350.65270136329497,CO
2010-05-16,201.28644792458172,CO
2010-05-17,113.30220166110226,CO
2010-05-18,
2010-05-19,260.352036403699,CO
2010-05-20,176.16811881340277,CO
2010-05-21,196.45528694344262,CO
2010-05-22,51.84701317908216,CO
2010-05-23,76.76062497406295,CO
2010-05-24,91.61979116056614,CO
2010-05-25,108.54717430928797,CO
2010-05-26,213.09645670664554,CO
2010-05-27,
2010-05-28,108.51564826049704,CO
2010-05-29,104.14079258508313,CO
2010-05-30,124.45600674923385,CO
2010-05-31,
2010-06-01,233.50809933303276,CO
2010-06-02,241.0260646163497,CO
2010-06-03,
2010-06-04,292.00030470236163,CO
2010-06-05,142.16026637889775,CO
2010-06-06,57.48832923269606,CO
2010-06-07,221.97593261131166,CO
2010-06-08,165.00296022741333,CO
2010-06-09,256.1229804349308,CO
2010-06-10,230.92281702169544,CO
2010-06-11,276.94935285987555,CO
2010-06-12,
2010-06-13,
2010-06-14,312.42698180449713,CO
2010-06-15,
2010-06-16,87.74924076321545,CO
2010-06-17,62.82188762218998,CO
2010-06-18,80.63431628220759,CO
2010-06-19,98.54180826272042,CO
2010-06-20,195.1885126831371,CO
2010-06-21,84.483488224004,CO
2010-06-22,187.33106872223672,CO
2010-06-23,64.13325925521862,CO
2010-06-24,
2010-06-25,87.6671656860582,CO
2010-06-26,205.49667181329306,CO
2010-06-27,95.15031417061012,CO
2010-06-28,105.4146635589085,CO
2010-06-29,138.13706660940508,CO
2010-06-30,
2010-07-01,132.80703526727333,CO
2010-07-02,221.43382962626438,CO
2010-07-03,187.05070211073877,CO
2010-07-04,344.22427851538356,CO
2010-07-05,80.56376580820866,CO
2010-07-06,71.33236546198724,CO
2010-07-07,
2010-07-08,361.50209418157124,CO
2010-07-09,97.04880903741639,CO
2010-07-10,122.54008141631681,CO
2010-07-11,62.574855431531795,CO
2010-07-12,101.59726986815231,CO
2010-07-13,67.83923620748044,CO
2010-07-14,154.0857425567731,CO
2010-07-15,
2010-07-16,50.16916280913508,CO
2010-07-17,135.4648133018063,CO
2010-07-18,158.7060323684937,CO
2010-07-19,205.83303369822661,CO
2010-07-20,294.29114862083173,CO
2010-07-21,190.36866134254748,CO
2010-07-22,115.13911525117493,CO
2010-07-23,307.6568972503742,CO
2010-07-24,195.05924703820645,CO
2010-07-25,220.85025146633907,CO
2010-07-26,64.82208517802012,CO
2010-07-27,104.73632815691327,CO
2010-07-28,170.70870665021275,CO
2010-07-29,108.2674476517592,CO
2010-07-30,236.6504023881829,CO
2010-07-31,
2010-08-01,96.99606825507783,CO
2010-08-02,144.7555910859804,CO
2010-08-03,97.94896380738606,CO
2010-08-04,132.05282130341985,CO
2010-08-05,92.2646796313043,CO
2010-08-06,129.36409528244462,CO
2010-08-07,78.3523755782081,CO
2010-08-08,68.99469637346088,CO
2010-08-09,176.75949268591134,CO
2010-08-10,57.82673498000862,CO
2010-08-11,95.86559983847711,CO
2010-08-12,61.09083409560945,CO
2010-08-13,51.3595632434585,CO
2010-08-14,76.20257231124396,CO
2010-08-15,
2010-08-16,280.55347531258155,CO
2010-08-17,58.16325565527035,CO
2010-08-18,109.10796878073133,CO
2010-08-19,199.47123209714843,CO
2010-08-20,106.2762320091249,CO
2010-08-21,89.9932262986204,CO
2010-08-22,98.08870589378398,CO
2010-08-23,202.5106986151433,CO
2010-08-24,121.4494448183857,CO
2010-08-25,84.57286151242798,CO
2010-08-26,82.6996092209781,CO
2010-08-27,122.5499728849799,CO
2010-08-28,116.3311263826688,CO
2010-08-29,78.14898425637524,CO
2010-08-30,122.44877788455862,CO
2010-08-31,
2010-09-01,89.64248031048541,CO
2010-09-02,87.95248727529167,CO
2010-09-03,79.2380576070025,CO
2010-09-04,84.15913853732262,CO
2010-09-05,141.64923508038396,CO
2010-09-06,85.32081002969555,CO
2010-09-07,96.93193584050101,CO
2010-09-08,339.5,CO
2010-09-09,64.06778056167836,CO
2010-09-10,98.94101544922319,CO
2010-09-11,66.24326759809041,CO
2010-09-12,107.74727316423981,CO
2010-09-13,109.73830375578262,CO
2010-09-14,176.50525028350458,CO
2010-09-15,
2010-09-16,129.72311805344395,CO
2010-09-17,80.87953457472081,CO
2010-09-18,162.55671121404058,CO
2010-09-19,62.24062134497384,CO
2010-09-20,138.52013540402106,CO
2010-09-21,89.43146275841083,CO
2010-09-22,277.2857142857143,CO
2010-09-23,96.54315093703903,CO
2010-09-24,62.47657316761497,CO
2010-09-25,65.07450770992263,CO
2010-09-26,43.82357465885425,CO
2010-09-27,100.99666870065043,CO
2010-09-28,46.703191635701714,CO
2010-09-29,86.92099612016011,CO
2010-09-30,
2010-10-01,133.35383534473837,CO
2010-10-02,149.1116824356435,CO
2010-10-03,120.41404602012989,CO
2010-10-04,176.5240912173111,CO
2010-10-05,71.03590710035988,CO
2010-10-06,266.5110955573777,CO
2010-10-07,
2010-10-08,98.19959741909896,CO
2010-10-09,148.25642913164984,CO
2010-10-10,250.51448368697143,CO
2010-10-11,120.70660177323161,CO
2010-10-12,203.7050588235295,CO
2010-10-13,83.20958716598794,CO
2010-10-14,44.45152247315913,CO
2010-10-15,41.40504392121149,CO
2010-10-16,95.60166146056743,CO
2010-10-17,152.0205777294492,CO
2010-10-18,
2010-10-19,
2010-10-20,41.18601073408322,CO
2010-10-21,123.64435409394652,CO
2010-10-22,225.75073783994847,CO
2010-10-23,144.2339975253354,CO
2010-10-24,60.49006450436874,CO
2010-10-25,82.08145291031519,CO
2010-10-26,60.61723049736963,CO
2010-10-27,51.71548053196056,CO
2010-10-28,59.27594729438467,CO
2010-10-29,62.633654455318855,CO
2010-10-30,95.72625947732348,CO
2010-10-31,
2010-11-01,96.23373330772374,CO
2010-11-02,43.59311929577809,CO
2010-11-03,92.24139106809892,CO
2010-11-04,52.67261064935084,CO
2010-11-05,31.933088219626182,CO
2010-11-06,52.59365579492156,CO
2010-11-07,70.55647304659459,CO
2010-11-08,33.517332548876155,CO
2010-11-09,125.37152223563369,CO
2010-11-10,220.36282788734485,CO
2010-11-11,
2010-11-12,75.46932743656896,CO
2010-11-13,149.84439666153168,CO
2010-11-14,222.0875958349705,CO
2010-11-15,
2010-11-16,49.18233473891049,CO
2010-11-17,196.81134339296,CO
2010-11-18,
2010-11-19,
2010-11-20,172.99550748572946,CO
2010-11-21,107.34626410324259,CO
2010-11-22,75.75722736713843,CO
2010-11-23,52.03955719989162,CO
2010-11-24,115.6756032786386,CO
2010-11-25,46.176623047298136,CO
2010-11-26,51.64482073588769,CO
2010-11-27,79.06738282691092,CO
2010-11-28,63.63349922300995,CO
2010-11-29,
2010-11-30,
2010-12-01,97.40307817233605,CO
2010-12-02,88.43623659306586,CO
2010-12-03,43.010364352628294,CO
2010-12-04,91.28657889610594,CO
2010-12-05,
2010-12-06,83.49795606062568,CO
2010-12-07,257.79793777134586,CO
2010-12-08,138.8747790326554,CO
2010-12-09,74.92183451381501,CO
2010-12-10,48.737422694198486,CO
2010-12-11,101.786315049091,CO
2010-12-12,72.9400478900307,CO
2010-12-13,238.34054867334387,CO
2010-12-14,109.43026206380618,CO
2010-12-15,
2010-12-16,177.89105817165023,CO
2010-12-17,157.78143155743072,CO
2010-12-18,113.02183889437426,CO
2010-12-19,53.44667323107314,CO
2010-12-20,132.01325229007682,CO
2010-12-21,168.5,CO
2010-12-22,180.16702930785195,CO
2010-12-23,82.22612617116874,CO
2010-12-24,127.83064876437763,CO
2010-12-25,69.53143543608584,CO
2010-12-26,85.68925865500277,CO
2010-12-27,127.15678288638233,CO
2010-12-28,83.66247468066678,CO
2010-12-29,202.4123616236163,CO
2010-12-30,
2010-12-31,
