date,aod_value,state,aod_type
2010-01-01,93.98405645582854,IL,55
2010-01-02,,IL,55
2010-01-03,,IL,55
2010-01-04,,IL,55
2010-01-05,,IL,55
2010-01-06,,IL,55
2010-01-07,,IL,55
2010-01-08,,IL,55
2010-01-09,,IL,55
2010-01-10,,IL,55
2010-01-11,,IL,55
2010-01-12,,IL,55
2010-01-13,141.14489100788407,IL,55
2010-01-14,,IL,55
2010-01-15,,IL,55
2010-01-16,,IL,55
2010-01-17,248.85714285714286,IL,55
2010-01-18,,IL,55
2010-01-19,90.4323155249032,IL,55
2010-01-20,,IL,55
2010-01-21,,IL,55
2010-01-22,,IL,55
2010-01-23,,IL,55
2010-01-24,,IL,55
2010-01-25,,IL,55
2010-01-26,,IL,55
2010-01-27,,IL,55
2010-01-28,137.72352185089974,IL,55
2010-01-29,166.09972337103886,IL,55
2010-01-30,123.26181660555923,IL,55
2010-01-31,,IL,55
2010-02-01,,IL,55
2010-02-02,,IL,55
2010-02-03,,IL,55
2010-02-04,,IL,55
2010-02-05,,IL,55
2010-02-06,,IL,55
2010-02-07,275.5868291276442,IL,55
2010-02-08,,IL,55
2010-02-09,,IL,55
2010-02-10,,IL,55
2010-02-11,135.596838607402,IL,55
2010-02-12,146.3493892853774,IL,55
2010-02-13,83.31695142499152,IL,55
2010-02-14,109.23511206628086,IL,55
2010-02-15,,IL,55
2010-02-16,,IL,55
2010-02-17,,IL,55
2010-02-18,96.260207977424,IL,55
2010-02-19,89.05044475417631,IL,55
2010-02-20,,IL,55
2010-02-21,,IL,55
2010-02-22,,IL,55
2010-02-23,,IL,55
2010-02-24,,IL,55
2010-02-25,160.80693710698236,IL,55
2010-02-26,,IL,55
2010-02-27,,IL,55
2010-02-28,,IL,55
2010-03-01,,IL,55
2010-03-02,,IL,55
2010-03-03,270.56110471657007,IL,55
2010-03-04,73.43720563589797,IL,55
2010-03-05,67.08469675808298,IL,55
2010-03-06,109.84369870110038,IL,55
2010-03-07,,IL,55
2010-03-08,,IL,55
2010-03-09,,IL,55
2010-03-10,453.44615384615383,IL,55
2010-03-11,,IL,55
2010-03-12,,IL,55
2010-03-13,,IL,55
2010-03-14,117.88232109117253,IL,55
2010-03-15,,IL,55
2010-03-16,61.7397262334606,IL,55
2010-03-17,29.734886121230886,IL,55
2010-03-18,137.54299488345782,IL,55
2010-03-19,127.73802171894715,IL,55
2010-03-20,,IL,55
2010-03-21,380.9616175935731,IL,55
2010-03-22,104.95028649047066,IL,55
2010-03-23,64.35319119659835,IL,55
2010-03-24,,IL,55
2010-03-25,,IL,55
