date,aod_value,state,aod_type
2010-01-01,,FL,47
2010-01-02,43.150970019876524,FL,47
2010-01-03,,FL,47
2010-01-04,59.02674305552213,FL,47
2010-01-05,103.14646534118697,FL,47
2010-01-06,68.44939664366348,FL,47
2010-01-07,39.19980529719973,FL,47
2010-01-08,,FL,47
2010-01-09,,FL,47
2010-01-10,88.71237943535678,FL,47
2010-01-11,57.02674188190583,FL,47
2010-01-12,74.86606530668185,FL,47
2010-01-13,70.56165366387235,FL,47
2010-01-14,,FL,47
2010-01-15,244.6504541766588,FL,47
2010-01-16,,FL,47
2010-01-17,257.5894977641386,FL,47
2010-01-18,351.55250829920976,FL,47
2010-01-19,84.43013363490908,FL,47
2010-01-20,153.2167554850589,FL,47
2010-01-21,,FL,47
2010-01-22,427.1426658934098,FL,47
2010-01-23,231.72424336062338,FL,47
2010-01-24,312.03399598182,FL,47
2010-01-25,91.96552012787187,FL,47
2010-01-26,64.8604453706165,FL,47
2010-01-27,49.00102872638393,FL,47
2010-01-28,76.59501332035487,FL,47
2010-01-29,301.46017699115043,FL,47
2010-01-30,,FL,47
2010-01-31,,FL,47
2010-02-01,,FL,47
2010-02-02,,FL,47
2010-02-03,149.2087989436426,FL,47
2010-02-04,162.45258135331966,FL,47
2010-02-05,,FL,47
2010-02-06,348.88629757024023,FL,47
2010-02-07,302.75713118331214,FL,47
2010-02-08,103.99844446501886,FL,47
2010-02-09,,FL,47
2010-02-10,52.5746568428369,FL,47
2010-02-11,98.13829398716787,FL,47
2010-02-12,,FL,47
2010-02-13,148.61269088600994,FL,47
2010-02-14,,FL,47
2010-02-15,75.3157619750331,FL,47
2010-02-16,93.51772051528073,FL,47
2010-02-17,146.1004735831079,FL,47
2010-02-18,46.39055762358246,FL,47
2010-02-19,385.45936288233145,FL,47
2010-02-20,136.37783588187241,FL,47
2010-02-21,271.1309437644403,FL,47
2010-02-22,,FL,47
2010-02-23,233.06240050050354,FL,47
2010-02-24,,FL,47
2010-02-25,62.24694796910194,FL,47
2010-02-26,54.88470329353919,FL,47
2010-02-27,163.82916416305628,FL,47
2010-02-28,,FL,47
2010-03-01,77.31854262310338,FL,47
2010-03-02,429.1564716851108,FL,47
2010-03-03,343.6634108082363,FL,47
2010-03-04,91.16830080300761,FL,47
2010-03-05,116.80986710763756,FL,47
2010-03-06,71.06113983760756,FL,47
2010-03-07,102.63871798936663,FL,47
2010-03-08,125.31806484505444,FL,47
2010-03-09,427.6448598130841,FL,47
2010-03-10,135.41213284627585,FL,47
2010-03-11,,FL,47
2010-03-12,,FL,47
2010-03-13,167.86389731751544,FL,47
2010-03-14,,FL,47
2010-03-15,115.76730992776993,FL,47
2010-03-16,240.70281530832855,FL,47
2010-03-17,232.10812798823116,FL,47
2010-03-18,237.69611668480945,FL,47
2010-03-19,249.5796114863671,FL,47
2010-03-20,161.97338424086496,FL,47
2010-03-21,,FL,47
2010-03-22,426.937180492932,FL,47
2010-03-23,127.98293876984596,FL,47
2010-03-24,227.7940801376633,FL,47
2010-03-25,,FL,47
2010-03-26,245.46543497785473,FL,47
2010-03-27,181.67536386523676,FL,47
2010-03-28,,FL,47
2010-03-29,367.0527246121393,FL,47
2010-03-30,137.41680204209598,FL,47
2010-03-31,,FL,47
2010-04-01,150.65740862850316,FL,47
2010-04-02,109.86212632771067,FL,47
2010-04-03,223.35324641949921,FL,47
2010-04-04,109.34745963132102,FL,47
2010-04-05,108.9824827980471,FL,47
2010-04-06,119.97179792621637,FL,47
2010-04-07,193.59617474976733,FL,47
2010-04-08,377.7659039241521,FL,47
2010-04-09,361.9797005780412,FL,47
