,Unnamed: 0,date,aod47,aod55,site_name,daily_mean_pm_2_5_concentration,station_name,elevation,latitude,longitude,mtd_prcp_normal,mtd_snow_normal,ytd_prcp_normal,ytd_snow_normal,dly_tavg_normal,dly_dutr_normal,dly_tmax_normal,dly_tmin_normal,day_of_week,weekday,season
0,1,2010-01-01,113.98405645582899,93.9840564558285,VILLAGE GARAGE,11.2,CHICAGO MIDWAY AIRPORT IL US,186.5,41.78611,-87.75222,0.08,0.4,0.08,0.4,25.6,12.8,32.0,19.1,4,1,1
1,2,2010-01-02,326.276227239748,221.53468580953702,VILLAGE GARAGE,7.2,CHICAGO MIDWAY AIRPORT IL US,186.5,41.78611,-87.75222,0.16,0.7,0.16,0.7,25.5,12.9,31.9,19.0,5,0,1
2,3,2010-01-03,326.276227239748,221.53468580953702,VILLAGE GARAGE,6.7,CHICAGO MIDWAY AIRPORT IL US,186.5,41.78611,-87.75222,0.23,1.1,0.23,1.1,25.3,12.9,31.8,18.9,6,0,1
3,4,2010-01-04,250.324798710377,180.66476318132302,VILLAGE GARAGE,5.7,CHICAGO MIDWAY AIRPORT IL US,186.5,41.78611,-87.75222,0.31,1.4,0.31,1.4,25.2,13.0,31.7,18.8,0,1,1
4,5,2010-01-05,194.22344247999501,147.297100619372,VILLAGE GARAGE,8.0,CHICAGO MIDWAY AIRPORT IL US,186.5,41.78611,-87.75222,0.39,1.8,0.39,1.8,25.1,13.0,31.6,18.7,1,1,1
5,6,2010-01-06,377.71395751371,276.0807345083,VILLAGE GARAGE,15.9,CHICAGO MIDWAY AIRPORT IL US,186.5,41.78611,-87.75222,0.46,2.2,0.46,2.2,25.1,13.0,31.6,18.5,2,1,1
6,7,2010-01-07,210.30689853314098,155.373798838932,VILLAGE GARAGE,23.1,CHICAGO MIDWAY AIRPORT IL US,186.5,41.78611,-87.75222,0.54,2.5,0.54,2.5,25.0,13.1,31.5,18.4,3,1,1
7,8,2010-01-08,253.105745944537,207.116819155732,VILLAGE GARAGE,8.4,CHICAGO MIDWAY AIRPORT IL US,186.5,41.78611,-87.75222,0.61,2.9,0.61,2.9,24.9,13.1,31.5,18.4,4,1,1
8,9,2010-01-09,173.13275800134997,85.68906172582709,VILLAGE GARAGE,7.7,CHICAGO MIDWAY AIRPORT IL US,186.5,41.78611,-87.75222,0.69,3.3,0.69,3.3,24.8,13.1,31.4,18.3,5,0,1
9,10,2010-01-10,328.900605268619,234.355232492914,VILLAGE GARAGE,15.3,CHICAGO MIDWAY AIRPORT IL US,186.5,41.78611,-87.75222,0.76,3.6,0.76,3.6,24.8,13.2,31.4,18.2,6,0,1
10,11,2010-01-11,312.504133601295,212.02833679158402,VILLAGE GARAGE,11.6,CHICAGO MIDWAY AIRPORT IL US,186.5,41.78611,-87.75222,0.83,4.0,0.83,4.0,24.7,13.2,31.3,18.1,0,1,1
11,12,2010-01-12,231.167670617672,171.88330315261902,VILLAGE GARAGE,9.4,CHICAGO MIDWAY AIRPORT IL US,186.5,41.78611,-87.75222,0.9,4.4,0.9,4.4,24.7,13.2,31.3,18.0,1,1,1
12,13,2010-01-13,185.52115985988098,141.144891007884,VILLAGE GARAGE,15.2,CHICAGO MIDWAY AIRPORT IL US,186.5,41.78611,-87.75222,0.97,4.7,0.97,4.7,24.6,13.3,31.2,18.0,2,1,1
13,14,2010-01-14,403.719374544408,226.813809240553,VILLAGE GARAGE,15.7,CHICAGO MIDWAY AIRPORT IL US,186.5,41.78611,-87.75222,1.04,5.1,1.04,5.1,24.6,13.3,31.2,17.9,3,1,1
14,15,2010-01-15,210.30689853314098,155.373798838932,VILLAGE GARAGE,26.6,CHICAGO MIDWAY AIRPORT IL US,186.5,41.78611,-87.75222,1.1,5.5,1.1,5.5,24.5,13.3,31.2,17.9,4,1,1
15,16,2010-01-16,210.30689853314098,155.373798838932,VILLAGE GARAGE,22.2,CHICAGO MIDWAY AIRPORT IL US,186.5,41.78611,-87.75222,1.17,5.9,1.17,5.9,24.5,13.3,31.2,17.9,5,0,1
16,17,2010-01-17,296.761904761905,248.85714285714297,VILLAGE GARAGE,16.2,CHICAGO MIDWAY AIRPORT IL US,186.5,41.78611,-87.75222,1.24,6.2,1.24,6.2,24.5,13.4,31.2,17.8,6,0,1
17,18,2010-01-18,377.71395751371,276.0807345083,VILLAGE GARAGE,17.8,CHICAGO MIDWAY AIRPORT IL US,186.5,41.78611,-87.75222,1.3,6.6,1.3,6.6,24.5,13.4,31.2,17.8,0,1,1
18,19,2010-01-19,112.93520988250799,90.4323155249032,VILLAGE GARAGE,17.7,CHICAGO MIDWAY AIRPORT IL US,186.5,41.78611,-87.75222,1.37,7.0,1.37,7.0,24.5,13.4,31.2,17.8,1,1,1
19,20,2010-01-20,190.964992127079,172.518754613774,VILLAGE GARAGE,16.0,CHICAGO MIDWAY AIRPORT IL US,186.5,41.78611,-87.75222,1.43,7.4,1.43,7.4,24.5,13.4,31.2,17.8,2,1,1
20,21,2010-01-21,253.105745944537,207.116819155732,VILLAGE GARAGE,9.8,CHICAGO MIDWAY AIRPORT IL US,186.5,41.78611,-87.75222,1.49,7.8,1.49,7.8,24.5,13.5,31.3,17.8,3,1,1
21,22,2010-01-22,348.473887415347,246.104125842671,VILLAGE GARAGE,18.8,CHICAGO MIDWAY AIRPORT IL US,186.5,41.78611,-87.75222,1.55,8.2,1.55,8.2,24.6,13.5,31.3,17.8,4,1,1
22,23,2010-01-23,283.961143985836,207.711763860173,VILLAGE GARAGE,20.5,CHICAGO MIDWAY AIRPORT IL US,186.5,41.78611,-87.75222,1.61,8.5,1.61,8.5,24.6,13.5,31.4,17.9,5,0,1
