"Date","Source","Site ID","POC","Daily Mean PM2.5 Concentration","UNITS","DAILY_AQI_VALUE","Site Name","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"01/01/2010","AQS","120570030","1","7.5","ug/m3 LC","31","Morrison Ave","1","100.0000","88101","PM2.5 - Local Conditions","45300","Tampa-St. Petersburg-Clearwater, FL","12","Florida","057","Hillsborough","27.932243638","-82.509539734"
"01/02/2010","AQS","120570030","1","5.5","ug/m3 LC","23","Morrison Ave","1","100.0000","88101","PM2.5 - Local Conditions","45300","Tampa-St. Petersburg-Clearwater, FL","12","Florida","057","Hillsborough","27.932243638","-82.509539734"
"01/03/2010","AQS","120570030","1","6.5","ug/m3 LC","27","Morrison Ave","1","100.0000","88101","PM2.5 - Local Conditions","45300","Tampa-St. Petersburg-Clearwater, FL","12","Florida","057","Hillsborough","27.932243638","-82.509539734"
"01/04/2010","AQS","120570030","1","7.6","ug/m3 LC","32","Morrison Ave","1","100.0000","88101","PM2.5 - Local Conditions","45300","Tampa-St. Petersburg-Clearwater, FL","12","Florida","057","Hillsborough","27.932243638","-82.509539734"
"01/05/2010","AQS","120570030","1","8.3","ug/m3 LC","35","Morrison Ave","1","100.0000","88101","PM2.5 - Local Conditions","45300","Tampa-St. Petersburg-Clearwater, FL","12","Florida","057","Hillsborough","27.932243638","-82.509539734"
"01/06/2010","AQS","120570030","1","8.9","ug/m3 LC","37","Morrison Ave","1","100.0000","88101","PM2.5 - Local Conditions","45300","Tampa-St. Petersburg-Clearwater, FL","12","Florida","057","Hillsborough","27.932243638","-82.509539734"
"01/07/2010","AQS","120570030","1","11.9","ug/m3 LC","50","Morrison Ave","1","100.0000","88101","PM2.5 - Local Conditions","45300","Tampa-St. Petersburg-Clearwater, FL","12","Florida","057","Hillsborough","27.932243638","-82.509539734"
"01/08/2010","AQS","120570030","1","10.7","ug/m3 LC","45","Morrison Ave","1","100.0000","88101","PM2.5 - Local Conditions","45300","Tampa-St. Petersburg-Clearwater, FL","12","Florida","057","Hillsborough","27.932243638","-82.509539734"
"01/09/2010","AQS","120570030","1","11.7","ug/m3 LC","49","Morrison Ave","1","100.0000","88101","PM2.5 - Local Conditions","45300","Tampa-St. Petersburg-Clearwater, FL","12","Florida","057","Hillsborough","27.932243638","-82.509539734"
"01/10/2010","AQS","120570030","1","12.1","ug/m3 LC","51","Morrison Ave","1","100.0000","88101","PM2.5 - Local Conditions","45300","Tampa-St. Petersburg-Clearwater, FL","12","Florida","057","Hillsborough","27.932243638","-82.509539734"
"01/11/2010","AQS","120570030","1","14","ug/m3 LC","55","Morrison Ave","1","100.0000","88101","PM2.5 - Local Conditions","45300","Tampa-St. Petersburg-Clearwater, FL","12","Florida","057","Hillsborough","27.932243638","-82.509539734"
"01/12/2010","AQS","120570030","1","15.9","ug/m3 LC","59","Morrison Ave","1","100.0000","88101","PM2.5 - Local Conditions","45300","Tampa-St. Petersburg-Clearwater, FL","12","Florida","057","Hillsborough","27.932243638","-82.509539734"
"01/13/2010","AQS","120570030","1","16.1","ug/m3 LC","59","Morrison Ave","1","100.0000","88101","PM2.5 - Local Conditions","45300","Tampa-St. Petersburg-Clearwater, FL","12","Florida","057","Hillsborough","27.932243638","-82.509539734"
"01/14/2010","AQS","120570030","1","14.9","ug/m3 LC","57","Morrison Ave","1","100.0000","88101","PM2.5 - Local Conditions","45300","Tampa-St. Petersburg-Clearwater, FL","12","Florida","057","Hillsborough","27.932243638","-82.509539734"
"01/15/2010","AQS","120570030","1","12.4","ug/m3 LC","52","Morrison Ave","1","100.0000","88101","PM2.5 - Local Conditions","45300","Tampa-St. Petersburg-Clearwater, FL","12","Florida","057","Hillsborough","27.932243638","-82.509539734"
"01/16/2010","AQS","120570030","1","8.6","ug/m3 LC","36","Morrison Ave","1","100.0000","88101","PM2.5 - Local Conditions","45300","Tampa-St. Petersburg-Clearwater, FL","12","Florida","057","Hillsborough","27.932243638","-82.509539734"
"01/17/2010","AQS","120570030","1","4.5","ug/m3 LC","19","Morrison Ave","1","100.0000","88101","PM2.5 - Local Conditions","45300","Tampa-St. Petersburg-Clearwater, FL","12","Florida","057","Hillsborough","27.932243638","-82.509539734"
"01/18/2010","AQS","120570030","1","7.2","ug/m3 LC","30","Morrison Ave","1","100.0000","88101","PM2.5 - Local Conditions","45300","Tampa-St. Petersburg-Clearwater, FL","12","Florida","057","Hillsborough","27.932243638","-82.509539734"
"01/19/2010","AQS","120570030","1","7.8","ug/m3 LC","33","Morrison Ave","1","100.0000","88101","PM2.5 - Local Conditions","45300","Tampa-St. Petersburg-Clearwater, FL","12","Florida","057","Hillsborough","27.932243638","-82.509539734"
"01/02/2010","AQS","120570030","2","5.7","ug/m3 LC","24","Morrison Ave","1","100.0000","88101","PM2.5 - Local Conditions","45300","Tampa-St. Petersburg-Clearwater, FL","12","Florida","057","Hillsborough","27.932243638","-82.509539734"
"01/01/2010","AQS","120570030","3","7.5","ug/m3 LC","31","Morrison Ave","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","45300","Tampa-St. Petersburg-Clearwater, FL","12","Florida","057","Hillsborough","27.932243638","-82.509539734"
"01/02/2010","AQS","120570030","3","5.1","ug/m3 LC","21","Morrison Ave","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","45300","Tampa-St. Petersburg-Clearwater, FL","12","Florida","057","Hillsborough","27.932243638","-82.509539734"
"01/03/2010","AQS","120570030","3","7.3","ug/m3 LC","30","Morrison Ave","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","45300","Tampa-St. Petersburg-Clearwater, FL","12","Florida","057","Hillsborough","27.932243638","-82.509539734"
"01/04/2010","AQS","120570030","3","7.5","ug/m3 LC","31","Morrison Ave","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","45300","Tampa-St. Petersburg-Clearwater, FL","12","Florida","057","Hillsborough","27.932243638","-82.509539734"
"01/05/2010","AQS","120570030","3","7.9","ug/m3 LC","33","Morrison Ave","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","45300","Tampa-St. Petersburg-Clearwater, FL","12","Florida","057","Hillsborough","27.932243638","-82.509539734"
"01/06/2010","AQS","120570030","3","8.3","ug/m3 LC","35","Morrison Ave","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","45300","Tampa-St. Petersburg-Clearwater, FL","12","Florida","057","Hillsborough","27.932243638","-82.509539734"
"01/07/2010","AQS","120570030","3","10.4","ug/m3 LC","43","Morrison Ave","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","45300","Tampa-St. Petersburg-Clearwater, FL","12","Florida","057","Hillsborough","27.932243638","-82.509539734"
"01/08/2010","AQS","120570030","3","9.8","ug/m3 LC","41","Morrison Ave","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","45300","Tampa-St. Petersburg-Clearwater, FL","12","Florida","057","Hillsborough","27.932243638","-82.509539734"
"01/09/2010","AQS","120570030","3","10.2","ug/m3 LC","43","Morrison Ave","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","45300","Tampa-St. Petersburg-Clearwater, FL","12","Florida","057","Hillsborough","27.932243638","-82.509539734"
"01/10/2010","AQS","120570030","3","10.6","ug/m3 LC","44","Morrison Ave","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","45300","Tampa-St. Petersburg-Clearwater, FL","12","Florida","057","Hillsborough","27.932243638","-82.509539734"
"01/11/2010","AQS","120570030","3","11.4","ug/m3 LC","48","Morrison Ave","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","45300","Tampa-St. Petersburg-Clearwater, FL","12","Florida","057","Hillsborough","27.932243638","-82.509539734"
"01/12/2010","AQS","120570030","3","13.6","ug/m3 LC","54","Morrison Ave","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","45300","Tampa-St. Petersburg-Clearwater, FL","12","Florida","057","Hillsborough","27.932243638","-82.509539734"
"01/13/2010","AQS","120570030","3","14.1","ug/m3 LC","55","Morrison Ave","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","45300","Tampa-St. Petersburg-Clearwater, FL","12","Florida","057","Hillsborough","27.932243638","-82.509539734"
"01/14/2010","AQS","120570030","3","15","ug/m3 LC","57","Morrison Ave","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","45300","Tampa-St. Petersburg-Clearwater, FL","12","Florida","057","Hillsborough","27.932243638","-82.509539734"
