site_name,4TH DISTRICT COURT,CAMP LOGAN TRAILER,CARY GROVE HS,CHIWAUKEE PRAIRIE STATELINE,CITY HALL,COM ED MAINTENANCE BLDG,COM ED TRAINING CENTER,EISENHOWER HS,East Chicago- Franklin School/ Washington School (Ben. Franklin),GRAVES ES,Gary- Burr St./ pumping station near truck stop,Gary- Madison St./ Gary Water/ IN American Water Co.,Gary-IITRI/ 1219.5 meters east of Tennessee St.- old ammuntion bunker,Hammond- Clark HS/ Robertsdale Clark HS,Hammond- Purdue/ Powers Bldg. Purdue University,IEPA TRAILER,KANE COUNTY HEALTH DEPT,LIBERTY SCHOOL,MAYFAIR PUMP STATION,MCKINLEY SCHOOL,NORTHBROOK WATER PLANT,Ogden Dunes- Water Treatment Plant,PERSHING SCHOOL,READY ELDON ELEMENTARY ON THE ROOF,REGIONAL OFFICE BUILDING,SE POLICE STATION,SPRINGFIELD PUMP STATION,VILLAGE GARAGE,VILLAGE HALL,WASHINGTON HS
4TH DISTRICT COURT,1.0,0.8578030881698346,0.9003281170555995,0.8314835177846147,0.871589530042467,0.8996488847325382,0.7498429700078638,0.8737923863296237,0.8479469059458735,0.9202214831160956,0.8552627014813525,0.7956168672638348,0.6616026257769138,0.8821424773316302,0.8575314106108576,0.7969736677574951,0.8657888763346983,0.9131647184686406,0.9272781531195503,0.8907069518950991,0.9045366315032581,0.8385469317536979,0.6752737825234716,0.8264624123514317,0.8880338376246917,0.8928319026532572,0.9260756516097394,0.9104801599845813,0.921132889456699,0.8687638882995785
CAMP LOGAN TRAILER,0.8578030881698346,1.0,0.8724959640317269,0.9690941476370758,0.7713237696223447,0.827345284318073,0.710864911555778,0.7387923873468935,0.8052786264380823,0.8116744894913536,0.7968683094029106,0.7994543676518854,0.7312738738788237,0.8178068142884135,0.8141320296603854,0.6324721325063616,0.7851809728837146,0.8646638630874987,0.8587774614445363,0.85315964353809,0.9366364631405303,0.8456204231089063,0.6575178215227547,0.7658692773777419,0.8555217197157768,0.8152620965120007,0.8808952046728482,0.7933654731678302,0.8460520902960301,0.802901865992165
CARY GROVE HS,0.9003281170555995,0.8724959640317269,1.0,0.8504191925762546,0.8571147298646937,0.8582920969018754,0.7888357312431203,0.8108777088851029,0.8324747189628469,0.8714176492462725,0.8195567726758118,0.761082767278461,0.6165413006979314,0.8348864333699094,0.8087728349313137,0.7836996945724075,0.8774675962246037,0.8634731570224498,0.8992405973768262,0.9145449696364599,0.929776149019364,0.7782395606936958,0.6983425165172966,0.7968496265600521,0.9122925259482686,0.8356830648766895,0.8946841384481846,0.8459999386615455,0.902853452674681,0.8170020464840543
CHIWAUKEE PRAIRIE STATELINE,0.8314835177846147,0.9690941476370758,0.8504191925762546,1.0,0.8007200550840603,0.8219018553415637,0.668183112132736,0.7870344529906024,0.8325912522219356,0.8194118288008851,0.8241696535291086,0.771207611117785,0.567858728073772,0.843023415921996,0.7387376202725786,0.7014671154383619,0.7841252719686285,0.8767607684171072,0.8613533650477367,0.8400357232747887,0.9006194093898926,0.7533108303746239,0.6514214568039935,0.7792332952188953,0.8511450057580857,0.8282070066880945,0.8834602382448715,0.7561379639235655,0.8137347711997229,0.7939673668834433
CITY HALL,0.871589530042467,0.7713237696223447,0.8571147298646937,0.8007200550840603,1.0,0.8846978776115574,0.9116050320922165,0.9121394477404924,0.89015492002818,0.9275639531098673,0.9000722337421353,0.8741440325426961,0.6121521532001399,0.8958328460252573,0.8503593207319491,0.8424844122472288,0.9456457886676671,0.887147720856761,0.9112795138926888,0.9297993774140826,0.8777603144603938,0.7831796952279017,0.8429432510255075,0.9019924881996978,0.8862590691280192,0.9009436391357248,0.9161378138776012,0.8679243067598394,0.9049985868899079,0.8664352553859774
COM ED MAINTENANCE BLDG,0.8996488847325382,0.827345284318073,0.8582920969018754,0.8219018553415637,0.8846978776115574,1.0,0.9012312074211289,0.9433425802881701,0.9471805490876414,0.9471471617132268,0.9275511589597837,0.8871571100861405,0.669621999497729,0.9536402382197234,0.903699419313267,0.8295103311376812,0.9403967507675782,0.9131869352298584,0.9200665192980043,0.9186968053904833,0.8970327873863333,0.8226365606198648,0.8038889135540004,0.9246468539282293,0.9269026308886137,0.9447484400271637,0.9295318364009093,0.910307359156741,0.9010206513002975,0.8852885975111713
COM ED TRAINING CENTER,0.7498429700078638,0.710864911555778,0.7888357312431203,0.668183112132736,0.9116050320922165,0.9012312074211289,1.0,0.9023547799017633,0.9197835424501567,0.8896579229357306,0.8806605096539961,0.8686079979623393,0.7326784265817897,0.9303764814665524,0.9101372388597836,0.8460481784701731,0.9137645925054205,0.8274446087230076,0.8248455197410486,0.8652224058365067,0.8112211226085776,0.8442838994700989,0.8967848623365134,0.9174704300106226,0.8476821795209657,0.8912528974046392,0.8265418811349576,0.8849628894642848,0.8446036102616309,0.8790411733725365
EISENHOWER HS,0.8737923863296237,0.7387923873468935,0.8108777088851029,0.7870344529906024,0.9121394477404924,0.9433425802881701,0.9023547799017633,1.0,0.9271160203121124,0.936878970252532,0.9371559373423264,0.8565837927853845,0.6892612848039459,0.948822431808848,0.9381083037064027,0.8322956872618781,0.8877064027987502,0.8840742049913716,0.8866962369018064,0.8373457124621316,0.8626588323196756,0.865457549014329,0.8376310632844891,0.9206066763834525,0.863324649283299,0.9432027810811178,0.8832868820579786,0.9325736781580296,0.8859254090368924,0.9143966144913888
East Chicago- Franklin School/ Washington School (Ben. Franklin),0.8479469059458735,0.8052786264380823,0.8324747189628469,0.8325912522219356,0.89015492002818,0.9471805490876414,0.9197835424501567,0.9271160203121124,1.0,0.9096076255788,0.9428660473339997,0.9130491369096834,0.7997732465565885,0.9765844254375032,0.9659799876425778,0.7759648996647251,0.8987150151214973,0.8699566528791794,0.9052994468014136,0.8550165947119214,0.8954114153138916,0.9115195454297896,0.8264534309206164,0.9436829901620329,0.8893877228293512,0.9463582964144716,0.9117893725874773,0.8913394621216724,0.8456213516432389,0.9309510846972167
GRAVES ES,0.9202214831160956,0.8116744894913536,0.8714176492462725,0.8194118288008851,0.9275639531098673,0.9471471617132268,0.8896579229357306,0.936878970252532,0.9096076255788,1.0,0.906530465195805,0.8544689563534557,0.6737106498558091,0.9144962630034844,0.910884801843459,0.8570705805185366,0.9268453967925,0.946225813321569,0.9414679453271078,0.9276849532934045,0.9131979568207006,0.8530950076927021,0.808456560202488,0.9022170795678279,0.926246418624629,0.9273150139106703,0.9394015202540044,0.9187229156147008,0.9289285591274851,0.8960014373912233
